record_id,raw_note,normalized_note,has_note,note_template_id,source_frequency,structured_labels,label_source,review_status
1,"Ya fue cliente en 2023, se retiró por precio.","Ya fue cliente en 2023, se retiró por precio.",True,NOTE-003,12,"{""requirements"": [], ""signals"": [""former_customer"", ""price_sensitive""], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": true, ""price_sensitive"": true, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""FORMER_CUSTOMER"", ""PRICE_SENSITIVE""]}",approved_golden_with_context_rule,approved
2,"Ya fue cliente en 2023, se retiró por precio.","Ya fue cliente en 2023, se retiró por precio.",True,NOTE-003,12,"{""requirements"": [], ""signals"": [""former_customer"", ""price_sensitive""], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": true, ""price_sensitive"": true, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""FORMER_CUSTOMER"", ""PRICE_SENSITIVE""]}",approved_golden_with_context_rule,approved
3,"Dejó los datos en el stand de la feria, mostró poco interés.","Dejó los datos en el stand de la feria, mostró poco interés.",True,NOTE-010,8,"{""requirements"": [], ""signals"": [""low_interest""], ""constraints"": [], ""priority"": ""low"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": true, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""low"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""LOW_INTEREST"", ""URGENCY""]}",approved_golden_with_context_rule,approved
4,Llamar únicamente después de las 2 pm.,Llamar únicamente después de las 2 pm.,True,NOTE-012,6,"{""requirements"": [], ""signals"": [], ""constraints"": [""contact_after_time""], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": ""phone"", ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": ""14:00"", ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""CONTACT_AFTER_TIME"", ""CONTACT_CHANNEL""]}",approved_golden_with_context_rule,approved
5,"Registro cargado desde base comprada, sin validar.","Registro cargado desde base comprada, sin validar.",True,NOTE-001,18,"{""requirements"": [], ""signals"": [""unvalidated_source""], ""constraints"": [], ""priority"": ""normal"", ""action"": ""validate_first"", ""details"": {""unvalidated_source"": true, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""low"", ""assignment_action"": ""validate_first"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""ACTION"", ""DATA_CONFIDENCE"", ""UNVALIDATED_SOURCE""]}",approved_golden_with_context_rule,approved
6,"Empresa familiar, decide el dueño directamente.","Empresa familiar, decide el dueño directamente.",True,NOTE-002,13,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": ""owner"", ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""OWNER_DECISION_MAKER""]}",approved_golden_with_context_rule,approved
7,"Registro cargado desde base comprada, sin validar.","Registro cargado desde base comprada, sin validar.",True,NOTE-001,18,"{""requirements"": [], ""signals"": [""unvalidated_source""], ""constraints"": [], ""priority"": ""normal"", ""action"": ""validate_first"", ""details"": {""unvalidated_source"": true, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""low"", ""assignment_action"": ""validate_first"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""ACTION"", ""DATA_CONFIDENCE"", ""UNVALIDATED_SOURCE""]}",approved_golden_with_context_rule,approved
8,Pidió que lo contacte alguien que conozca el sector.,Pidió que lo contacte alguien que conozca el sector.,True,NOTE-013,6,"{""requirements"": [""sector_expertise_requested""], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": true, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": true, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": true, ""reason_codes"": [""REQUIRES_MANUAL_REVIEW"", ""SECTOR_EXPERTISE_REQUESTED""]}",approved_golden_with_context_rule,approved
9,"Correo rebotado, el celular sí contesta.","Correo rebotado, el celular sí contesta.",True,NOTE-005,11,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": ""phone"", ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": null, ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""CONTACT_CHANNEL""]}",approved_golden_with_context_rule,approved
10,"Empresa familiar, decide el dueño directamente.","Empresa familiar, decide el dueño directamente.",True,NOTE-002,13,"{""requirements"": [], ""signals"": [], ""constraints"": [], ""priority"": ""normal"", ""action"": ""continue"", ""details"": {""unvalidated_source"": false, ""former_customer"": false, ""price_sensitive"": false, ""competitive_process"": false, ""existing_contract"": false, ""referral_from_current_account"": false, ""low_interest"": false, ""seniority_requested"": false, ""sector_expertise_requested"": false, ""do_not_contact"": false, ""possible_duplicate"": false, ""requires_manual_review"": false, ""account_complexity"": ""unknown"", ""urgency"": ""normal"", ""preferred_contact_channel"": null, ""data_confidence"": ""medium"", ""assignment_action"": ""continue"", ""decision_maker_type"": ""owner"", ""technical_expertise"": null, ""decision_window"": null, ""contact_after_time"": null, ""site_count"": null, ""competitor_count"": null}, ""needs_review"": false, ""reason_codes"": [""OWNER_DECISION_MAKER""]}",approved_golden_with_context_rule,approved
